speaker,cluster,distance_to_central
26,0,3.5241213
27,0,2.247309
78,0,4.5116234
201,0,3.018637
233,0,1.1399418
311,0,3.275543
332,0,4.7670126
481,0,4.4966106
669,0,7.8425593
1334,0,2.8881443
1455,0,2.6852558
1594,0,0.8880945
1723,0,2.188262
1743,0,4.1172166
1867,0,4.391983
2952,0,3.1351612
3168,0,1.2009828
3374,0,1.4144983
3486,0,4.609727
3607,0,4.280951
3664,0,2.6179643
3807,0,6.626003
4859,0,2.9300058
5322,0,2.5906472
5808,0,3.566328
7367,0,2.084356
8088,0,1.9597641
8419,0,3.301699
8609,0,2.5276473
