speaker,cluster,distance_to_central
40,1,5.0588923
200,1,3.9108722
403,1,4.417019
426,1,3.002374
696,1,4.733894
730,1,1.5660683
1069,1,2.9358091
1088,1,1.2760882
1098,1,4.0182667
1578,1,2.185886
1970,1,3.098451
1992,1,4.6341376
2007,1,3.3041368
2416,1,4.8382535
3440,1,5.11998
3879,1,3.3285627
3983,1,1.5097865
4160,1,3.969387
4297,1,4.427125
4340,1,3.5209444
4853,1,3.9107213
5022,1,1.6029764
5339,1,3.035988
5393,1,2.8553665
5778,1,3.2471929
5789,1,1.1367261
6078,1,1.2581228
6415,1,4.269448
6531,1,4.558506
6818,1,3.6780045
7059,1,2.3202174
7113,1,3.4806743
7302,1,3.7186253
7517,1,0.7114529
7794,1,2.52852
7859,1,4.384637
8324,1,2.5187063
8465,1,2.288967
