speaker,cluster,distance_to_central
118,3,4.805306
163,3,2.779808
254,3,4.1433835
412,3,3.4617994
445,3,5.091911
625,3,3.8861532
1081,3,3.8921824
1624,3,3.7404041
2002,3,4.0707226
2136,3,3.0699136
2159,3,4.7478523
2514,3,0.90963817
2518,3,1.5445864
2911,3,1.676362
3214,3,4.014578
3242,3,2.427823
3699,3,2.5903733
3857,3,0.8013076
4397,3,3.4610336
4441,3,2.141568
4788,3,2.210981
5049,3,2.129102
5104,3,3.357121
5456,3,4.876038
5678,3,4.3712573
5703,3,1.0481386
5750,3,3.3751438
6081,3,3.2743185
6181,3,4.4508348
6209,3,2.7741015
6836,3,4.1473174
6880,3,2.3603837
6925,3,5.00593
7447,3,3.986075
8063,3,1.9382044
8425,3,6.268558
8770,3,5.7410445
8797,3,1.3835542
