speaker,cluster,distance_to_central
32,5,3.0617132
39,5,2.7142024
103,5,5.0207233
125,5,2.1071944
198,5,3.8261771
211,5,4.1504974
226,5,6.073361
248,5,1.8380364
289,5,2.9350488
298,5,3.692865
302,5,1.0365574
322,5,8.494606
328,5,6.1999917
587,5,3.364267
839,5,7.0578094
1116,5,4.8063874
1183,5,1.7662522
1246,5,2.2837036
1263,5,5.0902166
1553,5,3.6498704
1737,5,3.5526228
1841,5,3.1147394
1898,5,4.1257343
1926,5,2.8848572
1963,5,4.4801574
2764,5,4.071756
2817,5,3.1406384
2836,5,3.315657
2910,5,3.00165
2989,5,6.9136996
3526,5,1.660175
3982,5,5.5023494
4051,5,2.1606395
4088,5,3.3946986
4481,5,5.0877414
5652,5,1.573031
5688,5,0.6072935
6064,5,4.9688516
7078,5,1.1095643
7148,5,7.266683
7635,5,4.7290945
8238,5,2.5014968
8975,5,1.4803232
